今日も俺は「残業」だよ。はぁ……,残業,宿題,パーティー,フィーバー
あの「課長」には困ったもんだよ,お母さん,ママ,課長,先生
「栄養ドリンク」がないとつらくてな,クスリ,おつまみ,カメラ,栄養ドリンク
早退すると仕事が増えるとか、あれじゃ「脅迫」だよ,お祝い,号泣,休憩,脅迫
たまには「気分転換」したいよな,残業,ジャンプ,暇,気分転換
予定があったのに、「家族」にも迷惑がかかるし……,家族,課長,ペット,学校
課長に「叱られて」しまって……,叱られて,褒められて,遊んで,飲んで
僕って「仕事」できないのでしょうか,スポーツ,遊び,就職,仕事
ちょっと「心配事」がありまして……,心配事,楽しみ,パソコン,会社
僕だけ仕事が「多い」気がするんですよ,低い,多い,大体,囲い
実は、「心配事」があるんですよ,自慢話,お酒,心配事,漫画
「予定」があったんですけど、休ませてもらえなくて,予定,学校,ラーメン,気分
課長に「無茶」言われてな……,媚び,告白,無茶,やんちゃ
通した企画、課長の「手柄」にされちまった,手柄,責任,必殺技,口癖
ああ、こっちもなかなか「大変」でさ,楽ちん,炎上,大変,便乗
俺のミスじゃないんだが、課長に「責任」被らされたんだ！,帽子,責任,バケツ,黒板消し
ちょっとこの「明細書」を見てくれよ,明細書,火事,ダンス,天気
これ、「残業代」が出てないんだ！,コマンド,水道代,新作,残業代
